01-11-02-031 C H,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCµVEL, DN 25 MM (3/4), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALA€ÇO. AF_03/2023 CS: 91914",UN,"20,00 ","15,41 ","308,20 "
01-11-02-010 C H,"LUVA PARA ELETRODUTO, PVC, ROSCµVEL, DN25 MM (3/4), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALA€ÇO. AF_03/2023 CS: 91884",UN,"40,00 ","9,82 ","392,80 "
67-23-68-027 O H,"ABRA€ADEIRA EM PVC PARA ELETRODUTO PARACONDULETE =3/4, INCLUINDO BUCHA E PARAFUSO",UN,"200,00 ","7,99 ","1.598,00 "
63-09-01-001 U H,ELETROCALHA PERFURADA EM A€O GALVANIZADO 150X100X3000MM COM TAMPA - FORNECIMENTOE INSTALA€ÇO,UN,"18,00 ","67,74 ","1.219,32 "
63-09-01-020 U H,EMENDA PARA ELETROCALHA 150X100MM - FORNECIMENTO E INSTALA€ÇO,UN,"5,00 ","18,25 ","91,25 "
64-23-74-007 O H,"FIXA€ÇO PARA ELETROCALHA 150X100MM,COMSUPORTE , TIRANTE E PARAFUSO - FORNECIMENTO E INSTALA€ÇO",UN,"18,00 ","36,93 ","664,74 "
63-09-01-008 U H,CURVA 90§ VERTICAL PARA ELETROCALHA 150X100MM - FORNECIMENTO E INSTALA€ÇO,UN,"1,00 ","45,11 ","45,11 "
63-09-01-010 U H,CURVA 90§ HORIZONTAL PARA ELETROCALHA 100X100MM - FORNECIMENTO E INSTALA€ÇO,UN,"1,00 ","24,39 ","24,39 "
63-09-01-016 U H,TÒ PARA ELETROCALHA 200X100MM - FORNECIMENTO E INSTALA€ÇO,UN,"1,00 ","75,74 ","75,74 "
64-23-74-149 O H,RACK DE PISO 19 36U P870 PRETO COM PORTA EM ACRÖLICO - FORNECIMENTO E INSTALA€ÇO,UN,"1,00 ","2.096,28 ","2.096,28 "
66-23-68-082 U H,KIT PORCA GAIOLA,CJ,"10,00 ","8,25 ","82,50 "
64-23-74-086 O H,BANDEJA FIXA PARA RACK 19 900MM - FORNECIMENTO E INSTALA€ÇO   ORSE/11417,UN,"2,00 ","397,06 ","794,12 "
67-23-68-028 O H,"ORGANIZA€ÇO DE RACK 19US, COM 1 PATCH PANEL 24P CAT 6, 1 VOICE PANEL 50, 20 PARAFUSOS PORCA GAIOLA E 1 GUIA DE CABO -FORNECIMENTO E INSTALA€ÇO",UN,"1,00 ","1.180,95 ","1.180,95 "
64-23-74-146 O H,VOICE PANEL 30 POSI€åES FURUKAWA OU EQUIVALENTE TCNICO - FORNECIMENTO E ISNTALA€ÇO,UN,"1,00 ","270,84 ","270,84 "
01-12-05-009 C H,"PATCH PANEL 24 PORTAS, CATEGORIA 6 - FORNECIMENTO E INSTALA€ÇO. AF_11/2019 CS: 98302",UN,"2,00 ","1.002,21 ","2.004,42 "
64-23-74-046 O H,FUSÇO DE FIBRA àTICA,UN,"28,00 ","76,99 ","2.155,72 "
64-23-74-144 O H,"PATCH CORD AZUL 1,5M CAT 6 E 2 CONECTORES RJ45 MACHO CAT6",UN,"80,00 ","28,26 ","2.260,80 "
64-23-74-018 O H,"CABO UTP 4 PARES, CAT.6 FORNECIMENTO EINSTALA€ÇO",M,"550,00 ","10,96 ","6.028,00 "
66-23-68-121 U H,"CERTIFICA€ÇO DE FIBRA àPTICA ATRAVS DEOTDR, SENTIDOS DE A PARA B E DE B PARA A, EM CABO COM 4 FIBRAS",UN,"8,00 ","1.828,47 ","14.627,76 "
